term_id,source,bucket,term_en,term_type,parent_term,field_name,field_value,entity_scope,access_scope,display_label_en,notes,priority,is_active
tcga_gdc.project.tcga_hnsc,tcga_gdc,disease_or_project_terms,TCGA-HNSC,value,tcga_gdc.field.project_id,project.project_id,TCGA-HNSC,projects,open,TCGA-HNSC,TCGA project code for Head and Neck Squamous Cell Carcinoma.,1220,true
tcga_gdc.project_name.tcga_hnsc,tcga_gdc,disease_or_project_terms,Head and Neck Squamous Cell Carcinoma,value,tcga_gdc.project.tcga_hnsc,project.name,Head and Neck Squamous Cell Carcinoma,projects,open,Head and Neck Squamous Cell Carcinoma,Official-style project name for TCGA-HNSC.,1230,true
tcga_gdc.disease_type.head_and_neck_squamous_cell_carcinoma,tcga_gdc,disease_or_project_terms,head and neck squamous cell carcinoma,value,tcga_gdc.field.disease_type,project.disease_type,Head and Neck Squamous Cell Carcinoma,projects,open,Head and Neck Squamous Cell Carcinoma,TCGA/GDC disease type value derived from the TCGA project catalog.,1240,true
tcga_gdc.primary_site.head_and_neck,tcga_gdc,disease_or_project_terms,head and neck,value,tcga_gdc.field.primary_site,cases.primary_site,Head and Neck,cases,open,Head and Neck,TCGA/GDC primary site value derived from the TCGA project catalog.,1250,true
tcga_gdc.project.tcga_kich,tcga_gdc,disease_or_project_terms,TCGA-KICH,value,tcga_gdc.field.project_id,project.project_id,TCGA-KICH,projects,open,TCGA-KICH,TCGA project code for Kidney Chromophobe.,1260,true
tcga_gdc.project_name.tcga_kich,tcga_gdc,disease_or_project_terms,Kidney Chromophobe,value,tcga_gdc.project.tcga_kich,project.name,Kidney Chromophobe,projects,open,Kidney Chromophobe,Official-style project name for TCGA-KICH.,1270,true
tcga_gdc.disease_type.kidney_chromophobe,tcga_gdc,disease_or_project_terms,kidney chromophobe,value,tcga_gdc.field.disease_type,project.disease_type,Kidney Chromophobe,projects,open,Kidney Chromophobe,TCGA/GDC disease type value derived from the TCGA project catalog.,1280,true
tcga_gdc.primary_site.kidney,tcga_gdc,disease_or_project_terms,kidney,value,tcga_gdc.field.primary_site,cases.primary_site,Kidney,cases,open,Kidney,TCGA/GDC primary site value derived from the TCGA project catalog.,1290,true
tcga_gdc.project.tcga_kirc,tcga_gdc,disease_or_project_terms,TCGA-KIRC,value,tcga_gdc.field.project_id,project.project_id,TCGA-KIRC,projects,open,TCGA-KIRC,TCGA project code for Kidney Renal Clear Cell Carcinoma.,1300,true
tcga_gdc.project_name.tcga_kirc,tcga_gdc,disease_or_project_terms,Kidney Renal Clear Cell Carcinoma,value,tcga_gdc.project.tcga_kirc,project.name,Kidney Renal Clear Cell Carcinoma,projects,open,Kidney Renal Clear Cell Carcinoma,Official-style project name for TCGA-KIRC.,1310,true
tcga_gdc.disease_type.kidney_renal_clear_cell_carcinoma,tcga_gdc,disease_or_project_terms,kidney renal clear cell carcinoma,value,tcga_gdc.field.disease_type,project.disease_type,Kidney Renal Clear Cell Carcinoma,projects,open,Kidney Renal Clear Cell Carcinoma,TCGA/GDC disease type value derived from the TCGA project catalog.,1320,true
tcga_gdc.project.tcga_kirp,tcga_gdc,disease_or_project_terms,TCGA-KIRP,value,tcga_gdc.field.project_id,project.project_id,TCGA-KIRP,projects,open,TCGA-KIRP,TCGA project code for Kidney Renal Papillary Cell Carcinoma.,1330,true
tcga_gdc.project_name.tcga_kirp,tcga_gdc,disease_or_project_terms,Kidney Renal Papillary Cell Carcinoma,value,tcga_gdc.project.tcga_kirp,project.name,Kidney Renal Papillary Cell Carcinoma,projects,open,Kidney Renal Papillary Cell Carcinoma,Official-style project name for TCGA-KIRP.,1340,true
tcga_gdc.disease_type.kidney_renal_papillary_cell_carcinoma,tcga_gdc,disease_or_project_terms,kidney renal papillary cell carcinoma,value,tcga_gdc.field.disease_type,project.disease_type,Kidney Renal Papillary Cell Carcinoma,projects,open,Kidney Renal Papillary Cell Carcinoma,TCGA/GDC disease type value derived from the TCGA project catalog.,1350,true
tcga_gdc.project.tcga_laml,tcga_gdc,disease_or_project_terms,TCGA-LAML,value,tcga_gdc.field.project_id,project.project_id,TCGA-LAML,projects,open,TCGA-LAML,TCGA project code for Acute Myeloid Leukemia.,1360,true
tcga_gdc.project_name.tcga_laml,tcga_gdc,disease_or_project_terms,Acute Myeloid Leukemia,value,tcga_gdc.project.tcga_laml,project.name,Acute Myeloid Leukemia,projects,open,Acute Myeloid Leukemia,Official-style project name for TCGA-LAML.,1370,true
tcga_gdc.disease_type.acute_myeloid_leukemia,tcga_gdc,disease_or_project_terms,acute myeloid leukemia,value,tcga_gdc.field.disease_type,project.disease_type,Acute Myeloid Leukemia,projects,open,Acute Myeloid Leukemia,TCGA/GDC disease type value derived from the TCGA project catalog.,1380,true
tcga_gdc.project.tcga_lgg,tcga_gdc,disease_or_project_terms,TCGA-LGG,value,tcga_gdc.field.project_id,project.project_id,TCGA-LGG,projects,open,TCGA-LGG,TCGA project code for Brain Lower Grade Glioma.,1390,true
tcga_gdc.project_name.tcga_lgg,tcga_gdc,disease_or_project_terms,Brain Lower Grade Glioma,value,tcga_gdc.project.tcga_lgg,project.name,Brain Lower Grade Glioma,projects,open,Brain Lower Grade Glioma,Official-style project name for TCGA-LGG.,1400,true
tcga_gdc.disease_type.brain_lower_grade_glioma,tcga_gdc,disease_or_project_terms,brain lower grade glioma,value,tcga_gdc.field.disease_type,project.disease_type,Brain Lower Grade Glioma,projects,open,Brain Lower Grade Glioma,TCGA/GDC disease type value derived from the TCGA project catalog.,1410,true
tcga_gdc.project.tcga_lihc,tcga_gdc,disease_or_project_terms,TCGA-LIHC,value,tcga_gdc.field.project_id,project.project_id,TCGA-LIHC,projects,open,TCGA-LIHC,TCGA project code for Liver Hepatocellular Carcinoma.,1420,true
tcga_gdc.project_name.tcga_lihc,tcga_gdc,disease_or_project_terms,Liver Hepatocellular Carcinoma,value,tcga_gdc.project.tcga_lihc,project.name,Liver Hepatocellular Carcinoma,projects,open,Liver Hepatocellular Carcinoma,Official-style project name for TCGA-LIHC.,1430,true
tcga_gdc.disease_type.liver_hepatocellular_carcinoma,tcga_gdc,disease_or_project_terms,liver hepatocellular carcinoma,value,tcga_gdc.field.disease_type,project.disease_type,Liver Hepatocellular Carcinoma,projects,open,Liver Hepatocellular Carcinoma,TCGA/GDC disease type value derived from the TCGA project catalog.,1440,true
tcga_gdc.primary_site.liver,tcga_gdc,disease_or_project_terms,liver,value,tcga_gdc.field.primary_site,cases.primary_site,Liver,cases,open,Liver,TCGA/GDC primary site value derived from the TCGA project catalog.,1450,true
tcga_gdc.project.tcga_luad,tcga_gdc,disease_or_project_terms,TCGA-LUAD,value,tcga_gdc.field.project_id,project.project_id,TCGA-LUAD,projects,open,TCGA-LUAD,TCGA project code for Lung Adenocarcinoma.,1460,true
tcga_gdc.project_name.tcga_luad,tcga_gdc,disease_or_project_terms,Lung Adenocarcinoma,value,tcga_gdc.project.tcga_luad,project.name,Lung Adenocarcinoma,projects,open,Lung Adenocarcinoma,Official-style project name for TCGA-LUAD.,1470,true
tcga_gdc.disease_type.lung_adenocarcinoma,tcga_gdc,disease_or_project_terms,lung adenocarcinoma,value,tcga_gdc.field.disease_type,project.disease_type,Lung Adenocarcinoma,projects,open,Lung Adenocarcinoma,TCGA/GDC disease type value derived from the TCGA project catalog.,1480,true
tcga_gdc.primary_site.bronchus_and_lung,tcga_gdc,disease_or_project_terms,bronchus and lung,value,tcga_gdc.field.primary_site,cases.primary_site,Bronchus and Lung,cases,open,Bronchus and Lung,TCGA/GDC primary site value derived from the TCGA project catalog.,1490,true
tcga_gdc.project.tcga_lusc,tcga_gdc,disease_or_project_terms,TCGA-LUSC,value,tcga_gdc.field.project_id,project.project_id,TCGA-LUSC,projects,open,TCGA-LUSC,TCGA project code for Lung Squamous Cell Carcinoma.,1500,true
tcga_gdc.project_name.tcga_lusc,tcga_gdc,disease_or_project_terms,Lung Squamous Cell Carcinoma,value,tcga_gdc.project.tcga_lusc,project.name,Lung Squamous Cell Carcinoma,projects,open,Lung Squamous Cell Carcinoma,Official-style project name for TCGA-LUSC.,1510,true
tcga_gdc.disease_type.lung_squamous_cell_carcinoma,tcga_gdc,disease_or_project_terms,lung squamous cell carcinoma,value,tcga_gdc.field.disease_type,project.disease_type,Lung Squamous Cell Carcinoma,projects,open,Lung Squamous Cell Carcinoma,TCGA/GDC disease type value derived from the TCGA project catalog.,1520,true
tcga_gdc.project.tcga_meso,tcga_gdc,disease_or_project_terms,TCGA-MESO,value,tcga_gdc.field.project_id,project.project_id,TCGA-MESO,projects,open,TCGA-MESO,TCGA project code for Mesothelioma.,1530,true
tcga_gdc.project_name.tcga_meso,tcga_gdc,disease_or_project_terms,Mesothelioma,value,tcga_gdc.project.tcga_meso,project.name,Mesothelioma,projects,open,Mesothelioma,Official-style project name for TCGA-MESO.,1540,true
tcga_gdc.disease_type.mesothelioma,tcga_gdc,disease_or_project_terms,mesothelioma,value,tcga_gdc.field.disease_type,project.disease_type,Mesothelioma,projects,open,Mesothelioma,TCGA/GDC disease type value derived from the TCGA project catalog.,1550,true
tcga_gdc.primary_site.pleura,tcga_gdc,disease_or_project_terms,pleura,value,tcga_gdc.field.primary_site,cases.primary_site,Pleura,cases,open,Pleura,TCGA/GDC primary site value derived from the TCGA project catalog.,1560,true
tcga_gdc.project.tcga_ov,tcga_gdc,disease_or_project_terms,TCGA-OV,value,tcga_gdc.field.project_id,project.project_id,TCGA-OV,projects,open,TCGA-OV,TCGA project code for Ovarian Serous Cystadenocarcinoma.,1570,true
tcga_gdc.project_name.tcga_ov,tcga_gdc,disease_or_project_terms,Ovarian Serous Cystadenocarcinoma,value,tcga_gdc.project.tcga_ov,project.name,Ovarian Serous Cystadenocarcinoma,projects,open,Ovarian Serous Cystadenocarcinoma,Official-style project name for TCGA-OV.,1580,true
tcga_gdc.disease_type.ovarian_serous_cystadenocarcinoma,tcga_gdc,disease_or_project_terms,ovarian serous cystadenocarcinoma,value,tcga_gdc.field.disease_type,project.disease_type,Ovarian Serous Cystadenocarcinoma,projects,open,Ovarian Serous Cystadenocarcinoma,TCGA/GDC disease type value derived from the TCGA project catalog.,1590,true
tcga_gdc.primary_site.ovary,tcga_gdc,disease_or_project_terms,ovary,value,tcga_gdc.field.primary_site,cases.primary_site,Ovary,cases,open,Ovary,TCGA/GDC primary site value derived from the TCGA project catalog.,1600,true
tcga_gdc.project.tcga_paad,tcga_gdc,disease_or_project_terms,TCGA-PAAD,value,tcga_gdc.field.project_id,project.project_id,TCGA-PAAD,projects,open,TCGA-PAAD,TCGA project code for Pancreatic Adenocarcinoma.,1610,true
tcga_gdc.project_name.tcga_paad,tcga_gdc,disease_or_project_terms,Pancreatic Adenocarcinoma,value,tcga_gdc.project.tcga_paad,project.name,Pancreatic Adenocarcinoma,projects,open,Pancreatic Adenocarcinoma,Official-style project name for TCGA-PAAD.,1620,true
tcga_gdc.disease_type.pancreatic_adenocarcinoma,tcga_gdc,disease_or_project_terms,pancreatic adenocarcinoma,value,tcga_gdc.field.disease_type,project.disease_type,Pancreatic Adenocarcinoma,projects,open,Pancreatic Adenocarcinoma,TCGA/GDC disease type value derived from the TCGA project catalog.,1630,true
tcga_gdc.primary_site.pancreas,tcga_gdc,disease_or_project_terms,pancreas,value,tcga_gdc.field.primary_site,cases.primary_site,Pancreas,cases,open,Pancreas,TCGA/GDC primary site value derived from the TCGA project catalog.,1640,true
tcga_gdc.project.tcga_pcpg,tcga_gdc,disease_or_project_terms,TCGA-PCPG,value,tcga_gdc.field.project_id,project.project_id,TCGA-PCPG,projects,open,TCGA-PCPG,TCGA project code for Pheochromocytoma and Paraganglioma.,1650,true
tcga_gdc.project_name.tcga_pcpg,tcga_gdc,disease_or_project_terms,Pheochromocytoma and Paraganglioma,value,tcga_gdc.project.tcga_pcpg,project.name,Pheochromocytoma and Paraganglioma,projects,open,Pheochromocytoma and Paraganglioma,Official-style project name for TCGA-PCPG.,1660,true
tcga_gdc.disease_type.pheochromocytoma_and_paraganglioma,tcga_gdc,disease_or_project_terms,pheochromocytoma and paraganglioma,value,tcga_gdc.field.disease_type,project.disease_type,Pheochromocytoma and Paraganglioma,projects,open,Pheochromocytoma and Paraganglioma,TCGA/GDC disease type value derived from the TCGA project catalog.,1670,true
tcga_gdc.project.tcga_prad,tcga_gdc,disease_or_project_terms,TCGA-PRAD,value,tcga_gdc.field.project_id,project.project_id,TCGA-PRAD,projects,open,TCGA-PRAD,TCGA project code for Prostate Adenocarcinoma.,1680,true
tcga_gdc.project_name.tcga_prad,tcga_gdc,disease_or_project_terms,Prostate Adenocarcinoma,value,tcga_gdc.project.tcga_prad,project.name,Prostate Adenocarcinoma,projects,open,Prostate Adenocarcinoma,Official-style project name for TCGA-PRAD.,1690,true
tcga_gdc.disease_type.prostate_adenocarcinoma,tcga_gdc,disease_or_project_terms,prostate adenocarcinoma,value,tcga_gdc.field.disease_type,project.disease_type,Prostate Adenocarcinoma,projects,open,Prostate Adenocarcinoma,TCGA/GDC disease type value derived from the TCGA project catalog.,1700,true
tcga_gdc.primary_site.prostate_gland,tcga_gdc,disease_or_project_terms,prostate gland,value,tcga_gdc.field.primary_site,cases.primary_site,Prostate Gland,cases,open,Prostate Gland,TCGA/GDC primary site value derived from the TCGA project catalog.,1710,true
tcga_gdc.project.tcga_read,tcga_gdc,disease_or_project_terms,TCGA-READ,value,tcga_gdc.field.project_id,project.project_id,TCGA-READ,projects,open,TCGA-READ,TCGA project code for Rectum Adenocarcinoma.,1720,true
tcga_gdc.project_name.tcga_read,tcga_gdc,disease_or_project_terms,Rectum Adenocarcinoma,value,tcga_gdc.project.tcga_read,project.name,Rectum Adenocarcinoma,projects,open,Rectum Adenocarcinoma,Official-style project name for TCGA-READ.,1730,true
tcga_gdc.disease_type.rectum_adenocarcinoma,tcga_gdc,disease_or_project_terms,rectum adenocarcinoma,value,tcga_gdc.field.disease_type,project.disease_type,Rectum Adenocarcinoma,projects,open,Rectum Adenocarcinoma,TCGA/GDC disease type value derived from the TCGA project catalog.,1740,true
tcga_gdc.primary_site.rectum,tcga_gdc,disease_or_project_terms,rectum,value,tcga_gdc.field.primary_site,cases.primary_site,Rectum,cases,open,Rectum,TCGA/GDC primary site value derived from the TCGA project catalog.,1750,true
tcga_gdc.project.tcga_sarc,tcga_gdc,disease_or_project_terms,TCGA-SARC,value,tcga_gdc.field.project_id,project.project_id,TCGA-SARC,projects,open,TCGA-SARC,TCGA project code for Sarcoma.,1760,true
tcga_gdc.project_name.tcga_sarc,tcga_gdc,disease_or_project_terms,Sarcoma,value,tcga_gdc.project.tcga_sarc,project.name,Sarcoma,projects,open,Sarcoma,Official-style project name for TCGA-SARC.,1770,true
tcga_gdc.disease_type.sarcoma,tcga_gdc,disease_or_project_terms,sarcoma,value,tcga_gdc.field.disease_type,project.disease_type,Sarcoma,projects,open,Sarcoma,TCGA/GDC disease type value derived from the TCGA project catalog.,1780,true
tcga_gdc.primary_site.connective_subcutaneous_and_other_soft_tissues,tcga_gdc,disease_or_project_terms,"connective, subcutaneous and other soft tissues",value,tcga_gdc.field.primary_site,cases.primary_site,"Connective, Subcutaneous and Other Soft Tissues",cases,open,"Connective, Subcutaneous and Other Soft Tissues",TCGA/GDC primary site value derived from the TCGA project catalog.,1790,true
tcga_gdc.project.tcga_skcm,tcga_gdc,disease_or_project_terms,TCGA-SKCM,value,tcga_gdc.field.project_id,project.project_id,TCGA-SKCM,projects,open,TCGA-SKCM,TCGA project code for Skin Cutaneous Melanoma.,1800,true
tcga_gdc.project_name.tcga_skcm,tcga_gdc,disease_or_project_terms,Skin Cutaneous Melanoma,value,tcga_gdc.project.tcga_skcm,project.name,Skin Cutaneous Melanoma,projects,open,Skin Cutaneous Melanoma,Official-style project name for TCGA-SKCM.,1810,true
tcga_gdc.disease_type.skin_cutaneous_melanoma,tcga_gdc,disease_or_project_terms,skin cutaneous melanoma,value,tcga_gdc.field.disease_type,project.disease_type,Skin Cutaneous Melanoma,projects,open,Skin Cutaneous Melanoma,TCGA/GDC disease type value derived from the TCGA project catalog.,1820,true
tcga_gdc.primary_site.skin,tcga_gdc,disease_or_project_terms,skin,value,tcga_gdc.field.primary_site,cases.primary_site,Skin,cases,open,Skin,TCGA/GDC primary site value derived from the TCGA project catalog.,1830,true
tcga_gdc.project.tcga_stad,tcga_gdc,disease_or_project_terms,TCGA-STAD,value,tcga_gdc.field.project_id,project.project_id,TCGA-STAD,projects,open,TCGA-STAD,TCGA project code for Stomach Adenocarcinoma.,1840,true
tcga_gdc.project_name.tcga_stad,tcga_gdc,disease_or_project_terms,Stomach Adenocarcinoma,value,tcga_gdc.project.tcga_stad,project.name,Stomach Adenocarcinoma,projects,open,Stomach Adenocarcinoma,Official-style project name for TCGA-STAD.,1850,true
tcga_gdc.disease_type.stomach_adenocarcinoma,tcga_gdc,disease_or_project_terms,stomach adenocarcinoma,value,tcga_gdc.field.disease_type,project.disease_type,Stomach Adenocarcinoma,projects,open,Stomach Adenocarcinoma,TCGA/GDC disease type value derived from the TCGA project catalog.,1860,true
tcga_gdc.primary_site.stomach,tcga_gdc,disease_or_project_terms,stomach,value,tcga_gdc.field.primary_site,cases.primary_site,Stomach,cases,open,Stomach,TCGA/GDC primary site value derived from the TCGA project catalog.,1870,true
tcga_gdc.project.tcga_tgct,tcga_gdc,disease_or_project_terms,TCGA-TGCT,value,tcga_gdc.field.project_id,project.project_id,TCGA-TGCT,projects,open,TCGA-TGCT,TCGA project code for Testicular Germ Cell Tumors.,1880,true
tcga_gdc.project_name.tcga_tgct,tcga_gdc,disease_or_project_terms,Testicular Germ Cell Tumors,value,tcga_gdc.project.tcga_tgct,project.name,Testicular Germ Cell Tumors,projects,open,Testicular Germ Cell Tumors,Official-style project name for TCGA-TGCT.,1890,true
tcga_gdc.disease_type.testicular_germ_cell_tumors,tcga_gdc,disease_or_project_terms,testicular germ cell tumors,value,tcga_gdc.field.disease_type,project.disease_type,Testicular Germ Cell Tumors,projects,open,Testicular Germ Cell Tumors,TCGA/GDC disease type value derived from the TCGA project catalog.,1900,true
tcga_gdc.primary_site.testis,tcga_gdc,disease_or_project_terms,testis,value,tcga_gdc.field.primary_site,cases.primary_site,Testis,cases,open,Testis,TCGA/GDC primary site value derived from the TCGA project catalog.,1910,true
tcga_gdc.project.tcga_thca,tcga_gdc,disease_or_project_terms,TCGA-THCA,value,tcga_gdc.field.project_id,project.project_id,TCGA-THCA,projects,open,TCGA-THCA,TCGA project code for Thyroid Carcinoma.,1920,true
tcga_gdc.project_name.tcga_thca,tcga_gdc,disease_or_project_terms,Thyroid Carcinoma,value,tcga_gdc.project.tcga_thca,project.name,Thyroid Carcinoma,projects,open,Thyroid Carcinoma,Official-style project name for TCGA-THCA.,1930,true
tcga_gdc.disease_type.thyroid_carcinoma,tcga_gdc,disease_or_project_terms,thyroid carcinoma,value,tcga_gdc.field.disease_type,project.disease_type,Thyroid Carcinoma,projects,open,Thyroid Carcinoma,TCGA/GDC disease type value derived from the TCGA project catalog.,1940,true
tcga_gdc.primary_site.thyroid_gland,tcga_gdc,disease_or_project_terms,thyroid gland,value,tcga_gdc.field.primary_site,cases.primary_site,Thyroid Gland,cases,open,Thyroid Gland,TCGA/GDC primary site value derived from the TCGA project catalog.,1950,true
tcga_gdc.project.tcga_thym,tcga_gdc,disease_or_project_terms,TCGA-THYM,value,tcga_gdc.field.project_id,project.project_id,TCGA-THYM,projects,open,TCGA-THYM,TCGA project code for Thymoma.,1960,true
tcga_gdc.project_name.tcga_thym,tcga_gdc,disease_or_project_terms,Thymoma,value,tcga_gdc.project.tcga_thym,project.name,Thymoma,projects,open,Thymoma,Official-style project name for TCGA-THYM.,1970,true
tcga_gdc.disease_type.thymoma,tcga_gdc,disease_or_project_terms,thymoma,value,tcga_gdc.field.disease_type,project.disease_type,Thymoma,projects,open,Thymoma,TCGA/GDC disease type value derived from the TCGA project catalog.,1980,true
tcga_gdc.primary_site.thymus,tcga_gdc,disease_or_project_terms,thymus,value,tcga_gdc.field.primary_site,cases.primary_site,Thymus,cases,open,Thymus,TCGA/GDC primary site value derived from the TCGA project catalog.,1990,true
tcga_gdc.project.tcga_ucec,tcga_gdc,disease_or_project_terms,TCGA-UCEC,value,tcga_gdc.field.project_id,project.project_id,TCGA-UCEC,projects,open,TCGA-UCEC,TCGA project code for Uterine Corpus Endometrial Carcinoma.,2000,true
tcga_gdc.project_name.tcga_ucec,tcga_gdc,disease_or_project_terms,Uterine Corpus Endometrial Carcinoma,value,tcga_gdc.project.tcga_ucec,project.name,Uterine Corpus Endometrial Carcinoma,projects,open,Uterine Corpus Endometrial Carcinoma,Official-style project name for TCGA-UCEC.,2010,true
tcga_gdc.disease_type.uterine_corpus_endometrial_carcinoma,tcga_gdc,disease_or_project_terms,uterine corpus endometrial carcinoma,value,tcga_gdc.field.disease_type,project.disease_type,Uterine Corpus Endometrial Carcinoma,projects,open,Uterine Corpus Endometrial Carcinoma,TCGA/GDC disease type value derived from the TCGA project catalog.,2020,true
tcga_gdc.primary_site.uterus,tcga_gdc,disease_or_project_terms,uterus,value,tcga_gdc.field.primary_site,cases.primary_site,Uterus,cases,open,Uterus,TCGA/GDC primary site value derived from the TCGA project catalog.,2030,true
tcga_gdc.project.tcga_ucs,tcga_gdc,disease_or_project_terms,TCGA-UCS,value,tcga_gdc.field.project_id,project.project_id,TCGA-UCS,projects,open,TCGA-UCS,TCGA project code for Uterine Carcinosarcoma.,2040,true
tcga_gdc.project_name.tcga_ucs,tcga_gdc,disease_or_project_terms,Uterine Carcinosarcoma,value,tcga_gdc.project.tcga_ucs,project.name,Uterine Carcinosarcoma,projects,open,Uterine Carcinosarcoma,Official-style project name for TCGA-UCS.,2050,true
tcga_gdc.disease_type.uterine_carcinosarcoma,tcga_gdc,disease_or_project_terms,uterine carcinosarcoma,value,tcga_gdc.field.disease_type,project.disease_type,Uterine Carcinosarcoma,projects,open,Uterine Carcinosarcoma,TCGA/GDC disease type value derived from the TCGA project catalog.,2060,true
tcga_gdc.project.tcga_uvm,tcga_gdc,disease_or_project_terms,TCGA-UVM,value,tcga_gdc.field.project_id,project.project_id,TCGA-UVM,projects,open,TCGA-UVM,TCGA project code for Uveal Melanoma.,2070,true
tcga_gdc.project_name.tcga_uvm,tcga_gdc,disease_or_project_terms,Uveal Melanoma,value,tcga_gdc.project.tcga_uvm,project.name,Uveal Melanoma,projects,open,Uveal Melanoma,Official-style project name for TCGA-UVM.,2080,true
tcga_gdc.disease_type.uveal_melanoma,tcga_gdc,disease_or_project_terms,uveal melanoma,value,tcga_gdc.field.disease_type,project.disease_type,Uveal Melanoma,projects,open,Uveal Melanoma,TCGA/GDC disease type value derived from the TCGA project catalog.,2090,true
tcga_gdc.primary_site.eye_and_adnexa,tcga_gdc,disease_or_project_terms,eye and adnexa,value,tcga_gdc.field.primary_site,cases.primary_site,Eye and Adnexa,cases,open,Eye and Adnexa,TCGA/GDC primary site value derived from the TCGA project catalog.,2100,true
gtex.field.tissue,gtex,sample_terms,tissue,field,gtex.entity.tissue,tissue,,samples,open,Tissue,Core GTEx field preserved for mapping and routing.,2110,true
gtex.field.subregion,gtex,sample_terms,subregion,field,gtex.entity.tissue,subregion,,samples,open,Subregion,Core GTEx field preserved for mapping and routing.,2120,true
gtex.field.sex,gtex,sample_terms,sex,field,gtex.entity.subject_phenotypes,sex,,samples,open,Sex,Core GTEx field preserved for mapping and routing.,2130,true
gtex.field.age,gtex,sample_terms,age,field,gtex.entity.subject_phenotypes,age,,samples,open,Age,Core GTEx field preserved for mapping and routing.,2140,true
gtex.field.release,gtex,data_terms,release,field,gtex.entity.dataset,release,,dataset,open,Release,Core GTEx field preserved for mapping and routing.,2150,true
gtex.tissue.adipose_tissue,gtex,sample_terms,adipose tissue,value,gtex.field.tissue,tissue,Adipose Tissue,samples,open,Adipose Tissue,GTEx major tissue term.,2160,true
gtex.subregion.adipose_tissue_subcutaneous,gtex,sample_terms,subcutaneous,value,gtex.tissue.adipose_tissue,subregion,Subcutaneous,samples,open,Subcutaneous,GTEx subregion value for Adipose Tissue.,2170,true
gtex.subregion.adipose_tissue_visceral_omentum,gtex,sample_terms,visceral (omentum),value,gtex.tissue.adipose_tissue,subregion,Visceral (Omentum),samples,open,Visceral (Omentum),GTEx subregion value for Adipose Tissue.,2180,true
gtex.tissue.adrenal_gland,gtex,sample_terms,adrenal gland,value,gtex.field.tissue,tissue,Adrenal Gland,samples,open,Adrenal Gland,GTEx major tissue term.,2190,true
gtex.tissue.bladder,gtex,sample_terms,bladder,value,gtex.field.tissue,tissue,Bladder,samples,open,Bladder,GTEx major tissue term.,2200,true
gtex.tissue.blood,gtex,sample_terms,blood,value,gtex.field.tissue,tissue,Blood,samples,open,Blood,GTEx major tissue term.,2210,true
gtex.subregion.blood_whole_blood,gtex,sample_terms,whole blood,value,gtex.tissue.blood,subregion,Whole Blood,samples,open,Whole Blood,GTEx subregion value for Blood.,2220,true
gtex.tissue.blood_vessel,gtex,sample_terms,blood vessel,value,gtex.field.tissue,tissue,Blood Vessel,samples,open,Blood Vessel,GTEx major tissue term.,2230,true
gtex.subregion.blood_vessel_aorta,gtex,sample_terms,aorta,value,gtex.tissue.blood_vessel,subregion,Aorta,samples,open,Aorta,GTEx subregion value for Blood Vessel.,2240,true
gtex.subregion.blood_vessel_coronary_artery,gtex,sample_terms,coronary artery,value,gtex.tissue.blood_vessel,subregion,Coronary Artery,samples,open,Coronary Artery,GTEx subregion value for Blood Vessel.,2250,true
gtex.subregion.blood_vessel_tibial_artery,gtex,sample_terms,tibial artery,value,gtex.tissue.blood_vessel,subregion,Tibial Artery,samples,open,Tibial Artery,GTEx subregion value for Blood Vessel.,2260,true
gtex.tissue.brain,gtex,sample_terms,brain,value,gtex.field.tissue,tissue,Brain,samples,open,Brain,GTEx major tissue term.,2270,true
gtex.subregion.brain_amygdala,gtex,sample_terms,amygdala,value,gtex.tissue.brain,subregion,Amygdala,samples,open,Amygdala,GTEx subregion value for Brain.,2280,true
gtex.subregion.brain_anterior_cingulate_cortex_ba24,gtex,sample_terms,anterior cingulate cortex (ba24),value,gtex.tissue.brain,subregion,Anterior cingulate cortex (BA24),samples,open,Anterior cingulate cortex (BA24),GTEx subregion value for Brain.,2290,true
gtex.subregion.brain_caudate_basal_ganglia,gtex,sample_terms,caudate (basal ganglia),value,gtex.tissue.brain,subregion,Caudate (basal ganglia),samples,open,Caudate (basal ganglia),GTEx subregion value for Brain.,2300,true
gtex.subregion.brain_cerebellar_hemisphere,gtex,sample_terms,cerebellar hemisphere,value,gtex.tissue.brain,subregion,Cerebellar Hemisphere,samples,open,Cerebellar Hemisphere,GTEx subregion value for Brain.,2310,true
gtex.subregion.brain_cerebellum,gtex,sample_terms,cerebellum,value,gtex.tissue.brain,subregion,Cerebellum,samples,open,Cerebellum,GTEx subregion value for Brain.,2320,true
gtex.subregion.brain_cortex,gtex,sample_terms,cortex,value,gtex.tissue.brain,subregion,Cortex,samples,open,Cortex,GTEx subregion value for Brain.,2330,true
gtex.subregion.brain_frontal_cortex_ba9,gtex,sample_terms,frontal cortex (ba9),value,gtex.tissue.brain,subregion,Frontal Cortex (BA9),samples,open,Frontal Cortex (BA9),GTEx subregion value for Brain.,2340,true
gtex.subregion.brain_hippocampus,gtex,sample_terms,hippocampus,value,gtex.tissue.brain,subregion,Hippocampus,samples,open,Hippocampus,GTEx subregion value for Brain.,2350,true
gtex.subregion.brain_hypothalamus,gtex,sample_terms,hypothalamus,value,gtex.tissue.brain,subregion,Hypothalamus,samples,open,Hypothalamus,GTEx subregion value for Brain.,2360,true
