mapping_id,concept_id,source,rule_kind,target_field,target_value,target_term_id,notes,is_active
map.disease_digestive_system_tumor.tcga_gdc.tcga_gdc_primary_site_pancreas,disease.digestive_system_tumor,tcga_gdc,structured_filter,cases.primary_site,Pancreas,tcga_gdc.primary_site.pancreas,Digestive system tumor concept maps to major digestive TCGA projects and sites.,true
map.disease_digestive_system_tumor.tcga_gdc.tcga_gdc_primary_site_rectum,disease.digestive_system_tumor,tcga_gdc,structured_filter,cases.primary_site,Rectum,tcga_gdc.primary_site.rectum,Digestive system tumor concept maps to major digestive TCGA projects and sites.,true
map.disease_digestive_system_tumor.tcga_gdc.tcga_gdc_primary_site_stomach,disease.digestive_system_tumor,tcga_gdc,structured_filter,cases.primary_site,Stomach,tcga_gdc.primary_site.stomach,Digestive system tumor concept maps to major digestive TCGA projects and sites.,true
map.disease_digestive_system_tumor.tcga_gdc.tcga_gdc_project_tcga_chol,disease.digestive_system_tumor,tcga_gdc,structured_filter,project.project_id,TCGA-CHOL,tcga_gdc.project.tcga_chol,Digestive system tumor concept maps to major digestive TCGA projects and sites.,true
map.disease_digestive_system_tumor.tcga_gdc.tcga_gdc_project_tcga_coad,disease.digestive_system_tumor,tcga_gdc,structured_filter,project.project_id,TCGA-COAD,tcga_gdc.project.tcga_coad,Digestive system tumor concept maps to major digestive TCGA projects and sites.,true
map.disease_digestive_system_tumor.tcga_gdc.tcga_gdc_project_tcga_esca,disease.digestive_system_tumor,tcga_gdc,structured_filter,project.project_id,TCGA-ESCA,tcga_gdc.project.tcga_esca,Digestive system tumor concept maps to major digestive TCGA projects and sites.,true
map.disease_digestive_system_tumor.tcga_gdc.tcga_gdc_project_tcga_lihc,disease.digestive_system_tumor,tcga_gdc,structured_filter,project.project_id,TCGA-LIHC,tcga_gdc.project.tcga_lihc,Digestive system tumor concept maps to major digestive TCGA projects and sites.,true
map.disease_digestive_system_tumor.tcga_gdc.tcga_gdc_project_tcga_paad,disease.digestive_system_tumor,tcga_gdc,structured_filter,project.project_id,TCGA-PAAD,tcga_gdc.project.tcga_paad,Digestive system tumor concept maps to major digestive TCGA projects and sites.,true
map.disease_digestive_system_tumor.tcga_gdc.tcga_gdc_project_tcga_read,disease.digestive_system_tumor,tcga_gdc,structured_filter,project.project_id,TCGA-READ,tcga_gdc.project.tcga_read,Digestive system tumor concept maps to major digestive TCGA projects and sites.,true
map.disease_digestive_system_tumor.tcga_gdc.tcga_gdc_project_tcga_stad,disease.digestive_system_tumor,tcga_gdc,structured_filter,project.project_id,TCGA-STAD,tcga_gdc.project.tcga_stad,Digestive system tumor concept maps to major digestive TCGA projects and sites.,true
map.disease_endocrine_tumor.geo.adrenocortical_carcinoma,disease.endocrine_tumor,geo,query_term,,adrenocortical carcinoma,,Reserved GEO query-expansion term derived from the shared concept layer.,true
map.disease_endocrine_tumor.geo.endocrine_tumor,disease.endocrine_tumor,geo,query_term,,endocrine tumor,,Reserved GEO query-expansion term derived from the shared concept layer.,true
map.disease_endocrine_tumor.geo.pheochromocytoma_and_paraganglioma,disease.endocrine_tumor,geo,query_term,,pheochromocytoma and paraganglioma,,Reserved GEO query-expansion term derived from the shared concept layer.,true
map.disease_endocrine_tumor.geo.thyroid_cancer,disease.endocrine_tumor,geo,query_term,,thyroid cancer,,Reserved GEO query-expansion term derived from the shared concept layer.,true
map.disease_endocrine_tumor.gtex.gtex_tissue_adrenal_gland,disease.endocrine_tumor,gtex,structured_filter,tissue,Adrenal Gland,gtex.tissue.adrenal_gland,Endocrine tumor concept maps to GTEx endocrine tissues.,true
map.disease_endocrine_tumor.gtex.gtex_tissue_pituitary,disease.endocrine_tumor,gtex,structured_filter,tissue,Pituitary,gtex.tissue.pituitary,Endocrine tumor concept maps to GTEx endocrine tissues.,true
map.disease_endocrine_tumor.gtex.gtex_tissue_thyroid,disease.endocrine_tumor,gtex,structured_filter,tissue,Thyroid,gtex.tissue.thyroid,Endocrine tumor concept maps to GTEx endocrine tissues.,true
map.disease_endocrine_tumor.tcga_gdc.tcga_gdc_primary_site_adrenal_gland,disease.endocrine_tumor,tcga_gdc,structured_filter,cases.primary_site,Adrenal Gland,tcga_gdc.primary_site.adrenal_gland,Endocrine tumor concept maps to THCA/ACC/PCPG and endocrine sites.,true
map.disease_endocrine_tumor.tcga_gdc.tcga_gdc_project_tcga_acc,disease.endocrine_tumor,tcga_gdc,structured_filter,project.project_id,TCGA-ACC,tcga_gdc.project.tcga_acc,Endocrine tumor concept maps to THCA/ACC/PCPG and endocrine sites.,true
map.disease_endocrine_tumor.tcga_gdc.tcga_gdc_project_tcga_pcpg,disease.endocrine_tumor,tcga_gdc,structured_filter,project.project_id,TCGA-PCPG,tcga_gdc.project.tcga_pcpg,Endocrine tumor concept maps to THCA/ACC/PCPG and endocrine sites.,true
map.disease_endocrine_tumor.tcga_gdc.tcga_gdc_project_tcga_thca,disease.endocrine_tumor,tcga_gdc,structured_filter,project.project_id,TCGA-THCA,tcga_gdc.project.tcga_thca,Endocrine tumor concept maps to THCA/ACC/PCPG and endocrine sites.,true
map.disease_endocrine_tumor.tcga_gdc.tcga_gdc_primary_site_thyroid_gland,disease.endocrine_tumor,tcga_gdc,structured_filter,cases.primary_site,Thyroid Gland,tcga_gdc.primary_site.thyroid_gland,Endocrine tumor concept maps to THCA/ACC/PCPG and endocrine sites.,true
map.disease_endometrial_cancer.geo.endometrial_cancer,disease.endometrial_cancer,geo,query_term,,endometrial cancer,,Reserved GEO query-expansion term derived from the shared concept layer.,true
map.disease_endometrial_cancer.geo.uterine_corpus_endometrial_carcinoma,disease.endometrial_cancer,geo,query_term,,uterine corpus endometrial carcinoma,,Reserved GEO query-expansion term derived from the shared concept layer.,true
map.disease_endometrial_cancer.gtex.gtex_tissue_uterus,disease.endometrial_cancer,gtex,structured_filter,tissue,Uterus,gtex.tissue.uterus,Endometrial cancer concept maps to GTEx uterus tissue reference.,true
map.disease_endometrial_cancer.tcga_gdc.tcga_gdc_project_tcga_ucec,disease.endometrial_cancer,tcga_gdc,structured_filter,project.project_id,TCGA-UCEC,tcga_gdc.project.tcga_ucec,"Endometrial cancer concept maps to UCEC disease, project, and uterus site.",true
map.disease_endometrial_cancer.tcga_gdc.tcga_gdc_disease_type_uterine_corpus_endometrial_carcinoma,disease.endometrial_cancer,tcga_gdc,structured_filter,project.disease_type,Uterine Corpus Endometrial Carcinoma,tcga_gdc.disease_type.uterine_corpus_endometrial_carcinoma,"Endometrial cancer concept maps to UCEC disease, project, and uterus site.",true
map.disease_endometrial_cancer.tcga_gdc.tcga_gdc_primary_site_uterus,disease.endometrial_cancer,tcga_gdc,structured_filter,cases.primary_site,Uterus,tcga_gdc.primary_site.uterus,"Endometrial cancer concept maps to UCEC disease, project, and uterus site.",true
map.disease_esophageal_carcinoma.geo.esophageal_carcinoma,disease.esophageal_carcinoma,geo,query_term,,esophageal carcinoma,,Reserved GEO query-expansion term derived from the shared concept layer.,true
map.disease_esophageal_carcinoma.gtex.gtex_tissue_esophagus,disease.esophageal_carcinoma,gtex,structured_filter,tissue,Esophagus,gtex.tissue.esophagus,ESCA-specific concept maps to GTEx esophagus tissue reference.,true
map.disease_esophageal_carcinoma.tcga_gdc.tcga_gdc_disease_type_esophageal_carcinoma,disease.esophageal_carcinoma,tcga_gdc,structured_filter,project.disease_type,Esophageal Carcinoma,tcga_gdc.disease_type.esophageal_carcinoma,"ESCA-specific concept maps to TCGA disease, project, and esophagus site.",true
map.disease_esophageal_carcinoma.tcga_gdc.tcga_gdc_primary_site_esophagus,disease.esophageal_carcinoma,tcga_gdc,structured_filter,cases.primary_site,Esophagus,tcga_gdc.primary_site.esophagus,"ESCA-specific concept maps to TCGA disease, project, and esophagus site.",true
map.disease_esophageal_carcinoma.tcga_gdc.tcga_gdc_project_tcga_esca,disease.esophageal_carcinoma,tcga_gdc,structured_filter,project.project_id,TCGA-ESCA,tcga_gdc.project.tcga_esca,"ESCA-specific concept maps to TCGA disease, project, and esophagus site.",true
map.disease_gastric_cancer.geo.gastric_cancer,disease.gastric_cancer,geo,query_term,,gastric cancer,,Reserved GEO query-expansion term derived from the shared concept layer.,true
map.disease_gastric_cancer.geo.stomach_adenocarcinoma,disease.gastric_cancer,geo,query_term,,stomach adenocarcinoma,,Reserved GEO query-expansion term derived from the shared concept layer.,true
map.disease_gastric_cancer.gtex.gtex_tissue_stomach,disease.gastric_cancer,gtex,structured_filter,tissue,Stomach,gtex.tissue.stomach,Gastric cancer concept maps to GTEx stomach tissue reference.,true
map.disease_gastric_cancer.tcga_gdc.tcga_gdc_primary_site_stomach,disease.gastric_cancer,tcga_gdc,structured_filter,cases.primary_site,Stomach,tcga_gdc.primary_site.stomach,"Gastric cancer concept maps to STAD disease, project, and stomach site.",true
map.disease_gastric_cancer.tcga_gdc.tcga_gdc_disease_type_stomach_adenocarcinoma,disease.gastric_cancer,tcga_gdc,structured_filter,project.disease_type,Stomach Adenocarcinoma,tcga_gdc.disease_type.stomach_adenocarcinoma,"Gastric cancer concept maps to STAD disease, project, and stomach site.",true
map.disease_gastric_cancer.tcga_gdc.tcga_gdc_project_tcga_stad,disease.gastric_cancer,tcga_gdc,structured_filter,project.project_id,TCGA-STAD,tcga_gdc.project.tcga_stad,"Gastric cancer concept maps to STAD disease, project, and stomach site.",true
map.disease_genitourinary_cancer.geo.bladder_cancer,disease.genitourinary_cancer,geo,query_term,,bladder cancer,,Reserved GEO query-expansion term derived from the shared concept layer.,true
map.disease_genitourinary_cancer.geo.genitourinary_cancer,disease.genitourinary_cancer,geo,query_term,,genitourinary cancer,,Reserved GEO query-expansion term derived from the shared concept layer.,true
map.disease_genitourinary_cancer.geo.kidney_cancer,disease.genitourinary_cancer,geo,query_term,,kidney cancer,,Reserved GEO query-expansion term derived from the shared concept layer.,true
map.disease_genitourinary_cancer.geo.prostate_cancer,disease.genitourinary_cancer,geo,query_term,,prostate cancer,,Reserved GEO query-expansion term derived from the shared concept layer.,true
map.disease_genitourinary_cancer.gtex.gtex_tissue_bladder,disease.genitourinary_cancer,gtex,structured_filter,tissue,Bladder,gtex.tissue.bladder,Genitourinary cancer concept maps to GU GTEx tissues.,true
map.disease_genitourinary_cancer.gtex.gtex_tissue_kidney,disease.genitourinary_cancer,gtex,structured_filter,tissue,Kidney,gtex.tissue.kidney,Genitourinary cancer concept maps to GU GTEx tissues.,true
map.disease_genitourinary_cancer.gtex.gtex_tissue_prostate,disease.genitourinary_cancer,gtex,structured_filter,tissue,Prostate,gtex.tissue.prostate,Genitourinary cancer concept maps to GU GTEx tissues.,true
map.disease_genitourinary_cancer.gtex.gtex_tissue_testis,disease.genitourinary_cancer,gtex,structured_filter,tissue,Testis,gtex.tissue.testis,Genitourinary cancer concept maps to GU GTEx tissues.,true
map.disease_genitourinary_cancer.tcga_gdc.tcga_gdc_primary_site_bladder,disease.genitourinary_cancer,tcga_gdc,structured_filter,cases.primary_site,Bladder,tcga_gdc.primary_site.bladder,Genitourinary cancer concept maps to GU TCGA projects and sites.,true
map.disease_genitourinary_cancer.tcga_gdc.tcga_gdc_primary_site_kidney,disease.genitourinary_cancer,tcga_gdc,structured_filter,cases.primary_site,Kidney,tcga_gdc.primary_site.kidney,Genitourinary cancer concept maps to GU TCGA projects and sites.,true
map.disease_genitourinary_cancer.tcga_gdc.tcga_gdc_primary_site_prostate_gland,disease.genitourinary_cancer,tcga_gdc,structured_filter,cases.primary_site,Prostate Gland,tcga_gdc.primary_site.prostate_gland,Genitourinary cancer concept maps to GU TCGA projects and sites.,true
map.disease_genitourinary_cancer.tcga_gdc.tcga_gdc_project_tcga_blca,disease.genitourinary_cancer,tcga_gdc,structured_filter,project.project_id,TCGA-BLCA,tcga_gdc.project.tcga_blca,Genitourinary cancer concept maps to GU TCGA projects and sites.,true
map.disease_genitourinary_cancer.tcga_gdc.tcga_gdc_project_tcga_kich,disease.genitourinary_cancer,tcga_gdc,structured_filter,project.project_id,TCGA-KICH,tcga_gdc.project.tcga_kich,Genitourinary cancer concept maps to GU TCGA projects and sites.,true
map.disease_genitourinary_cancer.tcga_gdc.tcga_gdc_project_tcga_kirc,disease.genitourinary_cancer,tcga_gdc,structured_filter,project.project_id,TCGA-KIRC,tcga_gdc.project.tcga_kirc,Genitourinary cancer concept maps to GU TCGA projects and sites.,true
map.disease_genitourinary_cancer.tcga_gdc.tcga_gdc_project_tcga_kirp,disease.genitourinary_cancer,tcga_gdc,structured_filter,project.project_id,TCGA-KIRP,tcga_gdc.project.tcga_kirp,Genitourinary cancer concept maps to GU TCGA projects and sites.,true
map.disease_genitourinary_cancer.tcga_gdc.tcga_gdc_project_tcga_prad,disease.genitourinary_cancer,tcga_gdc,structured_filter,project.project_id,TCGA-PRAD,tcga_gdc.project.tcga_prad,Genitourinary cancer concept maps to GU TCGA projects and sites.,true
map.disease_genitourinary_cancer.tcga_gdc.tcga_gdc_project_tcga_tgct,disease.genitourinary_cancer,tcga_gdc,structured_filter,project.project_id,TCGA-TGCT,tcga_gdc.project.tcga_tgct,Genitourinary cancer concept maps to GU TCGA projects and sites.,true
map.disease_genitourinary_cancer.tcga_gdc.tcga_gdc_primary_site_testis,disease.genitourinary_cancer,tcga_gdc,structured_filter,cases.primary_site,Testis,tcga_gdc.primary_site.testis,Genitourinary cancer concept maps to GU TCGA projects and sites.,true
map.disease_glioblastoma.geo.gbm,disease.glioblastoma,geo,query_term,,gbm,,Reserved GEO query-expansion term derived from the shared concept layer.,true
map.disease_glioblastoma.geo.glioblastoma,disease.glioblastoma,geo,query_term,,glioblastoma,,Reserved GEO query-expansion term derived from the shared concept layer.,true
map.disease_glioblastoma.geo.glioblastoma_multiforme,disease.glioblastoma,geo,query_term,,glioblastoma multiforme,,Reserved GEO query-expansion term derived from the shared concept layer.,true
map.disease_glioblastoma.gtex.gtex_tissue_brain,disease.glioblastoma,gtex,structured_filter,tissue,Brain,gtex.tissue.brain,Glioblastoma concept maps to GTEx brain tissue reference.,true
map.disease_glioblastoma.tcga_gdc.tcga_gdc_primary_site_brain,disease.glioblastoma,tcga_gdc,structured_filter,cases.primary_site,Brain,tcga_gdc.primary_site.brain,"Glioblastoma concept maps to GBM disease, project, and brain site.",true
map.disease_glioblastoma.tcga_gdc.tcga_gdc_disease_type_glioblastoma_multiforme,disease.glioblastoma,tcga_gdc,structured_filter,project.disease_type,Glioblastoma Multiforme,tcga_gdc.disease_type.glioblastoma_multiforme,"Glioblastoma concept maps to GBM disease, project, and brain site.",true
map.disease_glioblastoma.tcga_gdc.tcga_gdc_project_tcga_gbm,disease.glioblastoma,tcga_gdc,structured_filter,project.project_id,TCGA-GBM,tcga_gdc.project.tcga_gbm,"Glioblastoma concept maps to GBM disease, project, and brain site.",true
map.disease_glioblastoma_multiforme.geo.glioblastoma_multiforme,disease.glioblastoma_multiforme,geo,query_term,,glioblastoma multiforme,,Reserved GEO query-expansion term derived from the shared concept layer.,true
map.disease_glioblastoma_multiforme.tcga_gdc.tcga_gdc_disease_type_glioblastoma_multiforme,disease.glioblastoma_multiforme,tcga_gdc,structured_filter,project.disease_type,Glioblastoma Multiforme,tcga_gdc.disease_type.glioblastoma_multiforme,Disease concept maps to a TCGA disease type.,true
map.disease_glioblastoma_multiforme.tcga_gdc.tcga_gdc_project_tcga_gbm,disease.glioblastoma_multiforme,tcga_gdc,structured_filter,project.project_id,TCGA-GBM,tcga_gdc.project.tcga_gbm,Disease concept maps to related TCGA project code.,true
map.disease_gynecologic_cancer.geo.cervical_cancer,disease.gynecologic_cancer,geo,query_term,,cervical cancer,,Reserved GEO query-expansion term derived from the shared concept layer.,true
map.disease_gynecologic_cancer.geo.endometrial_cancer,disease.gynecologic_cancer,geo,query_term,,endometrial cancer,,Reserved GEO query-expansion term derived from the shared concept layer.,true
map.disease_gynecologic_cancer.geo.gynecologic_cancer,disease.gynecologic_cancer,geo,query_term,,gynecologic cancer,,Reserved GEO query-expansion term derived from the shared concept layer.,true
map.disease_gynecologic_cancer.geo.ovarian_cancer,disease.gynecologic_cancer,geo,query_term,,ovarian cancer,,Reserved GEO query-expansion term derived from the shared concept layer.,true
map.disease_gynecologic_cancer.gtex.gtex_tissue_cervix_uteri,disease.gynecologic_cancer,gtex,structured_filter,tissue,Cervix Uteri,gtex.tissue.cervix_uteri,Gynecologic cancer concept maps to relevant GTEx reproductive tissues.,true
map.disease_gynecologic_cancer.gtex.gtex_tissue_fallopian_tube,disease.gynecologic_cancer,gtex,structured_filter,tissue,Fallopian Tube,gtex.tissue.fallopian_tube,Gynecologic cancer concept maps to relevant GTEx reproductive tissues.,true
map.disease_gynecologic_cancer.gtex.gtex_tissue_ovary,disease.gynecologic_cancer,gtex,structured_filter,tissue,Ovary,gtex.tissue.ovary,Gynecologic cancer concept maps to relevant GTEx reproductive tissues.,true
map.disease_gynecologic_cancer.gtex.gtex_tissue_uterus,disease.gynecologic_cancer,gtex,structured_filter,tissue,Uterus,gtex.tissue.uterus,Gynecologic cancer concept maps to relevant GTEx reproductive tissues.,true
map.disease_gynecologic_cancer.gtex.gtex_tissue_vagina,disease.gynecologic_cancer,gtex,structured_filter,tissue,Vagina,gtex.tissue.vagina,Gynecologic cancer concept maps to relevant GTEx reproductive tissues.,true
map.disease_gynecologic_cancer.tcga_gdc.tcga_gdc_primary_site_cervix_uteri,disease.gynecologic_cancer,tcga_gdc,structured_filter,cases.primary_site,Cervix Uteri,tcga_gdc.primary_site.cervix_uteri,Gynecologic cancer concept maps to major gynecologic TCGA projects and sites.,true
map.disease_gynecologic_cancer.tcga_gdc.tcga_gdc_primary_site_ovary,disease.gynecologic_cancer,tcga_gdc,structured_filter,cases.primary_site,Ovary,tcga_gdc.primary_site.ovary,Gynecologic cancer concept maps to major gynecologic TCGA projects and sites.,true
map.disease_gynecologic_cancer.tcga_gdc.tcga_gdc_project_tcga_cesc,disease.gynecologic_cancer,tcga_gdc,structured_filter,project.project_id,TCGA-CESC,tcga_gdc.project.tcga_cesc,Gynecologic cancer concept maps to major gynecologic TCGA projects and sites.,true
map.disease_gynecologic_cancer.tcga_gdc.tcga_gdc_project_tcga_ov,disease.gynecologic_cancer,tcga_gdc,structured_filter,project.project_id,TCGA-OV,tcga_gdc.project.tcga_ov,Gynecologic cancer concept maps to major gynecologic TCGA projects and sites.,true
map.disease_gynecologic_cancer.tcga_gdc.tcga_gdc_project_tcga_ucec,disease.gynecologic_cancer,tcga_gdc,structured_filter,project.project_id,TCGA-UCEC,tcga_gdc.project.tcga_ucec,Gynecologic cancer concept maps to major gynecologic TCGA projects and sites.,true
map.disease_gynecologic_cancer.tcga_gdc.tcga_gdc_project_tcga_ucs,disease.gynecologic_cancer,tcga_gdc,structured_filter,project.project_id,TCGA-UCS,tcga_gdc.project.tcga_ucs,Gynecologic cancer concept maps to major gynecologic TCGA projects and sites.,true
map.disease_gynecologic_cancer.tcga_gdc.tcga_gdc_primary_site_uterus,disease.gynecologic_cancer,tcga_gdc,structured_filter,cases.primary_site,Uterus,tcga_gdc.primary_site.uterus,Gynecologic cancer concept maps to major gynecologic TCGA projects and sites.,true
map.disease_head_and_neck_squamous_cell_carcinoma.geo.head_and_neck_squamous_cell_carcinoma,disease.head_and_neck_squamous_cell_carcinoma,geo,query_term,,head and neck squamous cell carcinoma,,Reserved GEO query-expansion term derived from the shared concept layer.,true
map.disease_head_and_neck_squamous_cell_carcinoma.gtex.gtex_tissue_minor_salivary_gland,disease.head_and_neck_squamous_cell_carcinoma,gtex,structured_filter,tissue,Minor Salivary Gland,gtex.tissue.minor_salivary_gland,HNSC-specific concept maps to GTEx minor salivary gland reference.,true
map.disease_head_and_neck_squamous_cell_carcinoma.tcga_gdc.tcga_gdc_primary_site_head_and_neck,disease.head_and_neck_squamous_cell_carcinoma,tcga_gdc,structured_filter,cases.primary_site,Head and Neck,tcga_gdc.primary_site.head_and_neck,"HNSC-specific concept maps to TCGA disease, project, and head/neck site.",true
map.disease_head_and_neck_squamous_cell_carcinoma.tcga_gdc.tcga_gdc_disease_type_head_and_neck_squamous_cell_carcinoma,disease.head_and_neck_squamous_cell_carcinoma,tcga_gdc,structured_filter,project.disease_type,Head and Neck Squamous Cell Carcinoma,tcga_gdc.disease_type.head_and_neck_squamous_cell_carcinoma,"HNSC-specific concept maps to TCGA disease, project, and head/neck site.",true
map.disease_head_and_neck_squamous_cell_carcinoma.tcga_gdc.tcga_gdc_project_tcga_hnsc,disease.head_and_neck_squamous_cell_carcinoma,tcga_gdc,structured_filter,project.project_id,TCGA-HNSC,tcga_gdc.project.tcga_hnsc,"HNSC-specific concept maps to TCGA disease, project, and head/neck site.",true
map.disease_head_and_neck_tumor.geo.head_and_neck_squamous_cell_carcinoma,disease.head_and_neck_tumor,geo,query_term,,head and neck squamous cell carcinoma,,Reserved GEO query-expansion term derived from the shared concept layer.,true
map.disease_head_and_neck_tumor.geo.head_and_neck_tumor,disease.head_and_neck_tumor,geo,query_term,,head and neck tumor,,Reserved GEO query-expansion term derived from the shared concept layer.,true
map.disease_head_and_neck_tumor.gtex.gtex_tissue_minor_salivary_gland,disease.head_and_neck_tumor,gtex,structured_filter,tissue,Minor Salivary Gland,gtex.tissue.minor_salivary_gland,Head and neck tumor concept maps to GTEx minor salivary gland reference.,true
map.disease_head_and_neck_tumor.tcga_gdc.tcga_gdc_primary_site_head_and_neck,disease.head_and_neck_tumor,tcga_gdc,structured_filter,cases.primary_site,Head and Neck,tcga_gdc.primary_site.head_and_neck,Head and neck tumor concept maps to HNSC and head/neck site.,true
map.disease_head_and_neck_tumor.tcga_gdc.tcga_gdc_project_tcga_hnsc,disease.head_and_neck_tumor,tcga_gdc,structured_filter,project.project_id,TCGA-HNSC,tcga_gdc.project.tcga_hnsc,Head and neck tumor concept maps to HNSC and head/neck site.,true
map.disease_hematologic_malignancy.geo.hematologic_malignancy,disease.hematologic_malignancy,geo,query_term,,hematologic malignancy,,Reserved GEO query-expansion term derived from the shared concept layer.,true
map.disease_hematologic_malignancy.geo.leukemia,disease.hematologic_malignancy,geo,query_term,,leukemia,,Reserved GEO query-expansion term derived from the shared concept layer.,true
map.disease_hematologic_malignancy.geo.lymphoma,disease.hematologic_malignancy,geo,query_term,,lymphoma,,Reserved GEO query-expansion term derived from the shared concept layer.,true
map.disease_hematologic_malignancy.gtex.gtex_tissue_blood,disease.hematologic_malignancy,gtex,structured_filter,tissue,Blood,gtex.tissue.blood,Hematologic malignancy concept maps to GTEx blood and spleen.,true
map.disease_hematologic_malignancy.gtex.gtex_tissue_spleen,disease.hematologic_malignancy,gtex,structured_filter,tissue,Spleen,gtex.tissue.spleen,Hematologic malignancy concept maps to GTEx blood and spleen.,true
map.disease_hematologic_malignancy.tcga_gdc.tcga_gdc_primary_site_hematopoietic_and_reticuloendothelial_systems,disease.hematologic_malignancy,tcga_gdc,structured_filter,cases.primary_site,Hematopoietic and Reticuloendothelial Systems,tcga_gdc.primary_site.hematopoietic_and_reticuloendothelial_systems,Hematologic malignancy concept maps to LAML/DLBC and hematopoietic site.,true
map.disease_hematologic_malignancy.tcga_gdc.tcga_gdc_project_tcga_dlbc,disease.hematologic_malignancy,tcga_gdc,structured_filter,project.project_id,TCGA-DLBC,tcga_gdc.project.tcga_dlbc,Hematologic malignancy concept maps to LAML/DLBC and hematopoietic site.,true
map.disease_hematologic_malignancy.tcga_gdc.tcga_gdc_project_tcga_laml,disease.hematologic_malignancy,tcga_gdc,structured_filter,project.project_id,TCGA-LAML,tcga_gdc.project.tcga_laml,Hematologic malignancy concept maps to LAML/DLBC and hematopoietic site.,true
map.disease_hepatocellular_carcinoma.geo.hcc,disease.hepatocellular_carcinoma,geo,query_term,,hcc,,Reserved GEO query-expansion term derived from the shared concept layer.,true
map.disease_hepatocellular_carcinoma.geo.hepatocellular_carcinoma,disease.hepatocellular_carcinoma,geo,query_term,,hepatocellular carcinoma,,Reserved GEO query-expansion term derived from the shared concept layer.,true
map.disease_hepatocellular_carcinoma.geo.liver_hepatocellular_carcinoma,disease.hepatocellular_carcinoma,geo,query_term,,liver hepatocellular carcinoma,,Reserved GEO query-expansion term derived from the shared concept layer.,true
map.disease_hepatocellular_carcinoma.gtex.gtex_tissue_liver,disease.hepatocellular_carcinoma,gtex,structured_filter,tissue,Liver,gtex.tissue.liver,Hepatocellular carcinoma concept maps to GTEx liver tissue reference.,true
map.disease_hepatocellular_carcinoma.tcga_gdc.tcga_gdc_primary_site_liver,disease.hepatocellular_carcinoma,tcga_gdc,structured_filter,cases.primary_site,Liver,tcga_gdc.primary_site.liver,"Hepatocellular carcinoma concept maps to LIHC disease, project, and liver site.",true
map.disease_hepatocellular_carcinoma.tcga_gdc.tcga_gdc_disease_type_liver_hepatocellular_carcinoma,disease.hepatocellular_carcinoma,tcga_gdc,structured_filter,project.disease_type,Liver Hepatocellular Carcinoma,tcga_gdc.disease_type.liver_hepatocellular_carcinoma,"Hepatocellular carcinoma concept maps to LIHC disease, project, and liver site.",true
map.disease_hepatocellular_carcinoma.tcga_gdc.tcga_gdc_project_tcga_lihc,disease.hepatocellular_carcinoma,tcga_gdc,structured_filter,project.project_id,TCGA-LIHC,tcga_gdc.project.tcga_lihc,"Hepatocellular carcinoma concept maps to LIHC disease, project, and liver site.",true
map.disease_kidney_cancer.geo.kidney_cancer,disease.kidney_cancer,geo,query_term,,kidney cancer,,Reserved GEO query-expansion term derived from the shared concept layer.,true
map.disease_kidney_cancer.geo.kidney_chromophobe,disease.kidney_cancer,geo,query_term,,kidney chromophobe,,Reserved GEO query-expansion term derived from the shared concept layer.,true
map.disease_kidney_cancer.geo.kidney_renal_clear_cell_carcinoma,disease.kidney_cancer,geo,query_term,,kidney renal clear cell carcinoma,,Reserved GEO query-expansion term derived from the shared concept layer.,true
map.disease_kidney_cancer.geo.kidney_renal_papillary_cell_carcinoma,disease.kidney_cancer,geo,query_term,,kidney renal papillary cell carcinoma,,Reserved GEO query-expansion term derived from the shared concept layer.,true
map.disease_kidney_cancer.gtex.gtex_tissue_kidney,disease.kidney_cancer,gtex,structured_filter,tissue,Kidney,gtex.tissue.kidney,Kidney cancer concept maps to GTEx kidney tissue reference.,true
map.disease_kidney_cancer.tcga_gdc.tcga_gdc_primary_site_kidney,disease.kidney_cancer,tcga_gdc,structured_filter,cases.primary_site,Kidney,tcga_gdc.primary_site.kidney,Kidney cancer concept maps to KICH/KIRC/KIRP and kidney site.,true
map.disease_kidney_cancer.tcga_gdc.tcga_gdc_project_tcga_kich,disease.kidney_cancer,tcga_gdc,structured_filter,project.project_id,TCGA-KICH,tcga_gdc.project.tcga_kich,Kidney cancer concept maps to KICH/KIRC/KIRP and kidney site.,true
map.disease_kidney_cancer.tcga_gdc.tcga_gdc_project_tcga_kirc,disease.kidney_cancer,tcga_gdc,structured_filter,project.project_id,TCGA-KIRC,tcga_gdc.project.tcga_kirc,Kidney cancer concept maps to KICH/KIRC/KIRP and kidney site.,true
map.disease_kidney_cancer.tcga_gdc.tcga_gdc_project_tcga_kirp,disease.kidney_cancer,tcga_gdc,structured_filter,project.project_id,TCGA-KIRP,tcga_gdc.project.tcga_kirp,Kidney cancer concept maps to KICH/KIRC/KIRP and kidney site.,true
map.disease_kidney_chromophobe.geo.kidney_chromophobe,disease.kidney_chromophobe,geo,query_term,,kidney chromophobe,,Reserved GEO query-expansion term derived from the shared concept layer.,true
map.disease_kidney_chromophobe.tcga_gdc.tcga_gdc_disease_type_kidney_chromophobe,disease.kidney_chromophobe,tcga_gdc,structured_filter,project.disease_type,Kidney Chromophobe,tcga_gdc.disease_type.kidney_chromophobe,Disease concept maps to a TCGA disease type.,true
